longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-121.82,37.81,12.0,4711.0,659.0,2089.0,621.0,8.3209,485400.0,INLAND
-120.1,38.91,33.0,1561.0,282.0,30.0,11.0,1.875,500001.0,INLAND
-118.54,34.28,10.0,7665.0,999.0,3517.0,998.0,10.8805,500001.0,<1H OCEAN
-118.54,34.26,23.0,4960.0,592.0,1929.0,586.0,10.9052,500001.0,<1H OCEAN
-118.57,34.27,20.0,7384.0,845.0,2795.0,872.0,9.6047,500001.0,<1H OCEAN
-118.56,34.25,31.0,1962.0,243.0,697.0,242.0,8.565,500001.0,<1H OCEAN
-118.56,34.24,23.0,2980.0,362.0,1208.0,378.0,8.1714,500001.0,<1H OCEAN
-118.51,34.25,24.0,4338.0,558.0,1514.0,549.0,8.8612,500001.0,<1H OCEAN
-118.51,34.24,31.0,5297.0,664.0,1986.0,657.0,8.6454,483500.0,<1H OCEAN
-118.35,34.15,35.0,2245.0,393.0,783.0,402.0,4.1544,500001.0,<1H OCEAN
-118.43,34.17,42.0,777.0,102.0,284.0,113.0,11.2093,500001.0,<1H OCEAN
-118.65,34.21,5.0,5429.0,665.0,2315.0,687.0,9.6465,500001.0,<1H OCEAN
-118.57,34.17,31.0,1950.0,383.0,870.0,357.0,3.1875,500001.0,<1H OCEAN
-118.58,34.17,18.0,6476.0,1082.0,2413.0,958.0,5.6327,500001.0,<1H OCEAN
-118.57,34.15,22.0,5791.0,706.0,2059.0,673.0,10.9201,500001.0,<1H OCEAN
-118.59,34.14,19.0,1303.0,155.0,450.0,145.0,10.5511,483100.0,<1H OCEAN
-118.55,34.17,36.0,2127.0,297.0,761.0,274.0,7.8392,500001.0,<1H OCEAN
-118.56,34.17,35.0,2987.0,391.0,1244.0,387.0,7.1322,500001.0,<1H OCEAN
-118.51,34.16,23.0,11154.0,1995.0,4076.0,1809.0,5.4609,500001.0,<1H OCEAN
-118.48,34.16,32.0,2108.0,309.0,769.0,274.0,8.7172,500001.0,<1H OCEAN
-118.49,34.16,37.0,3333.0,488.0,1171.0,485.0,6.4958,500001.0,<1H OCEAN
-118.5,34.15,33.0,3104.0,387.0,1111.0,376.0,13.4196,500001.0,<1H OCEAN
-118.49,34.15,33.0,2829.0,360.0,1010.0,363.0,10.3587,500001.0,<1H OCEAN
-118.49,34.14,28.0,3539.0,441.0,1190.0,421.0,10.6796,500001.0,<1H OCEAN
-118.49,34.13,24.0,4394.0,435.0,1443.0,528.0,11.2979,500001.0,<1H OCEAN
-118.51,34.14,28.0,6748.0,904.0,2431.0,876.0,12.8879,500001.0,<1H OCEAN
-118.53,34.14,28.0,6920.0,906.0,2515.0,860.0,9.2189,500001.0,<1H OCEAN
-118.54,34.15,26.0,10111.0,1295.0,3599.0,1257.0,10.2292,500001.0,<1H OCEAN
-118.56,34.14,23.0,9657.0,1189.0,3585.0,1162.0,10.4399,500001.0,<1H OCEAN
-118.44,34.15,44.0,1778.0,251.0,641.0,251.0,10.0549,500001.0,<1H OCEAN
-118.47,34.15,43.0,804.0,117.0,267.0,110.0,8.2269,500001.0,<1H OCEAN
-118.48,34.15,31.0,2536.0,429.0,990.0,424.0,5.4591,495500.0,<1H OCEAN
-118.48,34.16,30.0,3507.0,536.0,1427.0,525.0,6.7082,500001.0,<1H OCEAN
-118.48,34.14,31.0,9320.0,1143.0,2980.0,1109.0,10.3599,500001.0,<1H OCEAN
-118.46,34.14,34.0,5264.0,771.0,1738.0,753.0,8.8115,500001.0,<1H OCEAN
-118.47,34.14,36.0,2873.0,420.0,850.0,379.0,8.153,500001.0,<1H OCEAN
-118.47,34.14,34.0,3646.0,610.0,1390.0,607.0,7.629,500001.0,<1H OCEAN
-118.43,34.14,44.0,1693.0,239.0,498.0,216.0,10.9237,500001.0,<1H OCEAN
-118.43,34.13,37.0,4400.0,695.0,1521.0,666.0,8.2954,500001.0,<1H OCEAN
-118.45,34.14,33.0,1741.0,274.0,588.0,267.0,7.9625,490800.0,<1H OCEAN
-118.35,34.15,52.0,1680.0,238.0,493.0,211.0,9.042,500001.0,<1H OCEAN
-118.36,34.15,41.0,3545.0,698.0,1221.0,651.0,4.3,500001.0,<1H OCEAN
-118.36,34.13,36.0,6871.0,1180.0,2216.0,1130.0,8.0499,495600.0,<1H OCEAN
-118.37,34.13,28.0,4287.0,627.0,1498.0,615.0,8.5677,500001.0,<1H OCEAN
-118.39,34.14,34.0,4624.0,781.0,1572.0,719.0,6.5533,500001.0,<1H OCEAN
-118.38,34.14,40.0,1965.0,354.0,666.0,357.0,6.0876,483800.0,<1H OCEAN
-118.4,34.13,32.0,8262.0,1156.0,2712.0,1125.0,10.5575,500001.0,<1H OCEAN
-118.41,34.14,33.0,778.0,143.0,258.0,130.0,5.738,497600.0,<1H OCEAN
-118.42,34.14,27.0,3990.0,892.0,1417.0,800.0,4.0439,500001.0,<1H OCEAN
-118.42,34.13,38.0,3830.0,518.0,1292.0,516.0,12.7823,500001.0,<1H OCEAN
-118.28,34.11,38.0,4453.0,1156.0,1830.0,1099.0,3.6181,495600.0,<1H OCEAN
-118.28,34.12,50.0,2384.0,312.0,836.0,337.0,12.8763,500001.0,<1H OCEAN
-118.29,34.11,30.0,2774.0,570.0,1076.0,580.0,5.296,500001.0,<1H OCEAN
-118.29,34.11,49.0,2850.0,379.0,1113.0,380.0,12.9591,500001.0,<1H OCEAN
-118.3,34.11,25.0,1590.0,218.0,568.0,206.0,8.4389,500001.0,<1H OCEAN
-118.3,34.11,52.0,1954.0,245.0,645.0,237.0,6.9391,500001.0,<1H OCEAN
-118.31,34.12,39.0,3895.0,561.0,1271.0,536.0,8.0073,500001.0,<1H OCEAN
-118.31,34.13,40.0,2822.0,443.0,907.0,414.0,7.2692,498700.0,<1H OCEAN
-118.32,34.13,34.0,1856.0,273.0,540.0,264.0,4.0833,500001.0,<1H OCEAN
-118.33,34.12,23.0,1894.0,416.0,769.0,392.0,6.0352,500001.0,<1H OCEAN
-118.34,34.13,45.0,2375.0,417.0,751.0,410.0,6.6739,500001.0,<1H OCEAN
-118.32,34.14,23.0,4574.0,1423.0,1624.0,995.0,4.0965,500001.0,<1H OCEAN
-118.34,34.11,40.0,5485.0,1242.0,2034.0,1133.0,3.6974,500001.0,<1H OCEAN
-118.36,34.1,52.0,1096.0,247.0,423.0,230.0,3.0179,500001.0,<1H OCEAN
-118.34,34.1,29.0,3193.0,1452.0,2039.0,1265.0,1.8209,500001.0,<1H OCEAN
-118.34,34.08,52.0,1430.0,186.0,547.0,178.0,10.3661,500001.0,<1H OCEAN
-118.33,34.08,52.0,1777.0,454.0,671.0,439.0,3.5083,500001.0,<1H OCEAN
-118.37,34.12,34.0,2821.0,399.0,843.0,391.0,11.615,500001.0,<1H OCEAN
-118.36,34.12,26.0,3902.0,610.0,1468.0,632.0,8.5136,500001.0,<1H OCEAN
-118.35,34.11,33.0,7478.0,1678.0,2701.0,1500.0,4.1717,500001.0,<1H OCEAN
-118.36,34.11,35.0,3946.0,695.0,1361.0,620.0,6.5195,500001.0,<1H OCEAN
-118.37,34.11,42.0,5518.0,979.0,1863.0,957.0,8.5842,500001.0,<1H OCEAN
-118.36,34.1,36.0,2963.0,838.0,1129.0,745.0,2.5588,500001.0,<1H OCEAN
-118.37,34.1,37.0,407.0,67.0,100.0,47.0,15.0001,500001.0,<1H OCEAN
-118.38,34.1,39.0,3798.0,586.0,975.0,525.0,9.3092,500001.0,<1H OCEAN
-118.39,34.1,30.0,6310.0,957.0,1776.0,880.0,8.944,500001.0,<1H OCEAN
-118.39,34.09,41.0,730.0,126.0,230.0,125.0,4.3214,500001.0,<1H OCEAN
-118.37,34.09,31.0,2697.0,706.0,1059.0,689.0,2.8942,500001.0,<1H OCEAN
-118.26,34.05,52.0,58.0,52.0,41.0,27.0,4.0972,500001.0,<1H OCEAN
-118.32,34.07,52.0,2156.0,306.0,861.0,311.0,8.8062,500001.0,<1H OCEAN
-118.33,34.06,52.0,1841.0,240.0,693.0,218.0,15.0001,500001.0,<1H OCEAN
-118.33,34.07,52.0,2248.0,255.0,813.0,265.0,15.0001,500001.0,<1H OCEAN
-118.33,34.07,52.0,1482.0,171.0,531.0,161.0,15.0001,500001.0,<1H OCEAN
-118.34,34.06,52.0,2089.0,309.0,883.0,281.0,7.4574,500001.0,<1H OCEAN
-118.32,34.07,52.0,2980.0,366.0,967.0,359.0,11.2185,500001.0,<1H OCEAN
-118.32,34.06,52.0,983.0,246.0,578.0,204.0,5.7393,500001.0,<1H OCEAN
-118.32,34.06,52.0,955.0,100.0,457.0,120.0,15.0001,500001.0,<1H OCEAN
-118.31,34.07,20.0,3264.0,1248.0,2919.0,1191.0,2.3674,500001.0,<1H OCEAN
-118.31,34.06,24.0,1336.0,453.0,1268.0,426.0,2.8202,500001.0,<1H OCEAN
-118.35,34.07,52.0,2497.0,406.0,1030.0,412.0,4.89,500001.0,<1H OCEAN
-118.35,34.07,52.0,2315.0,356.0,894.0,345.0,4.1328,500001.0,<1H OCEAN
-118.34,34.08,52.0,1421.0,163.0,495.0,167.0,10.586,500001.0,<1H OCEAN
-118.34,34.08,52.0,1721.0,195.0,688.0,196.0,15.0001,500001.0,<1H OCEAN
-118.34,34.07,52.0,1621.0,284.0,588.0,272.0,6.2223,500001.0,<1H OCEAN
-118.34,34.07,52.0,3421.0,598.0,1203.0,564.0,4.1618,500001.0,<1H OCEAN
-118.34,34.08,52.0,2756.0,542.0,971.0,510.0,5.5871,500001.0,<1H OCEAN
-118.35,34.07,45.0,3312.0,880.0,1157.0,809.0,3.5719,500001.0,<1H OCEAN
-118.37,34.07,52.0,2203.0,437.0,899.0,384.0,4.25,486900.0,<1H OCEAN
-118.37,34.07,52.0,2195.0,435.0,884.0,432.0,5.24,486400.0,<1H OCEAN
-118.38,34.08,25.0,4625.0,1307.0,1739.0,1191.0,3.3989,485000.0,<1H OCEAN
-118.38,34.07,21.0,3653.0,956.0,1510.0,890.0,3.5573,500001.0,<1H OCEAN
-118.35,34.06,52.0,3446.0,1360.0,1768.0,1245.0,2.4722,500001.0,<1H OCEAN
-118.34,34.06,52.0,1314.0,170.0,629.0,214.0,7.1669,500001.0,<1H OCEAN
-118.36,34.06,52.0,2130.0,455.0,921.0,395.0,2.9605,500001.0,<1H OCEAN
-118.37,34.06,52.0,1608.0,289.0,630.0,252.0,5.5596,500001.0,<1H OCEAN
-118.38,34.06,25.0,2558.0,661.0,1183.0,636.0,3.5556,500000.0,<1H OCEAN
-118.37,34.06,52.0,2402.0,506.0,878.0,464.0,4.0217,500001.0,<1H OCEAN
-118.38,34.05,35.0,3517.0,879.0,1632.0,784.0,3.0956,500001.0,<1H OCEAN
-118.31,34.05,26.0,1809.0,640.0,2543.0,640.0,2.3536,500000.0,<1H OCEAN
-118.28,34.02,29.0,515.0,229.0,2690.0,217.0,0.4999,500001.0,<1H OCEAN
-118.39,34.12,29.0,6447.0,1012.0,2184.0,960.0,8.2816,500001.0,<1H OCEAN
-118.4,34.11,32.0,5578.0,753.0,1567.0,697.0,15.0001,500001.0,<1H OCEAN
-118.42,34.12,27.0,2089.0,303.0,654.0,270.0,12.3767,500001.0,<1H OCEAN
-118.43,34.11,27.0,10806.0,1440.0,3511.0,1352.0,12.7296,500001.0,<1H OCEAN
-118.43,34.09,27.0,1613.0,200.0,497.0,197.0,7.9835,500001.0,<1H OCEAN
-118.45,34.12,20.0,10722.0,1617.0,3731.0,1511.0,9.7449,500001.0,<1H OCEAN
-118.44,34.09,36.0,3129.0,392.0,862.0,334.0,15.0001,500001.0,<1H OCEAN
-118.43,34.08,46.0,778.0,90.0,238.0,93.0,15.0001,500001.0,<1H OCEAN
-118.45,34.08,52.0,1500.0,176.0,384.0,145.0,7.1576,500001.0,<1H OCEAN
-118.45,34.1,31.0,6675.0,842.0,2092.0,796.0,11.8442,500001.0,<1H OCEAN
-118.46,34.08,35.0,3247.0,525.0,1065.0,484.0,7.8426,500001.0,<1H OCEAN
-118.47,34.1,32.0,8041.0,1141.0,2768.0,1106.0,11.1978,500001.0,<1H OCEAN
-118.49,34.11,27.0,6603.0,879.0,2336.0,868.0,13.2935,500001.0,<1H OCEAN
-118.48,34.07,29.0,4767.0,777.0,1500.0,638.0,10.7937,500001.0,<1H OCEAN
-118.48,34.07,40.0,3351.0,484.0,1564.0,523.0,8.5153,500001.0,<1H OCEAN
-118.48,34.07,37.0,4042.0,549.0,1318.0,542.0,12.8665,500001.0,<1H OCEAN
-118.49,34.06,42.0,2861.0,360.0,829.0,310.0,15.0001,500001.0,<1H OCEAN
-118.49,34.07,36.0,2929.0,366.0,1054.0,352.0,13.5728,500001.0,<1H OCEAN
-118.51,34.11,29.0,9013.0,1117.0,2919.0,1061.0,13.947,500001.0,<1H OCEAN
-118.5,34.05,39.0,1487.0,163.0,414.0,160.0,15.0,500001.0,<1H OCEAN
-118.53,34.09,37.0,5477.0,833.0,1925.0,757.0,8.1888,500001.0,<1H OCEAN
-118.52,34.05,45.0,1814.0,325.0,709.0,311.0,4.825,500001.0,<1H OCEAN
-118.52,34.04,47.0,1985.0,315.0,819.0,340.0,6.5147,500001.0,<1H OCEAN
-118.57,34.09,14.0,7970.0,1142.0,2926.0,1096.0,11.2866,500001.0,<1H OCEAN
-118.54,34.05,33.0,6778.0,1092.0,2540.0,1052.0,8.565,500001.0,<1H OCEAN
-118.55,34.04,41.0,1482.0,239.0,617.0,242.0,8.8619,500001.0,<1H OCEAN
-118.56,34.03,34.0,2095.0,343.0,662.0,299.0,8.2934,500001.0,<1H OCEAN
-118.56,34.06,24.0,2332.0,349.0,761.0,325.0,7.3031,500001.0,<1H OCEAN
-118.54,34.06,21.0,3755.0,525.0,1493.0,526.0,11.4233,500001.0,<1H OCEAN
-118.55,34.03,35.0,9075.0,1858.0,3646.0,1724.0,6.0307,500001.0,<1H OCEAN
-118.52,34.04,42.0,993.0,130.0,368.0,134.0,10.8082,500001.0,<1H OCEAN
-118.52,34.04,43.0,2167.0,254.0,761.0,256.0,13.6842,500001.0,<1H OCEAN
-118.53,34.04,45.0,1711.0,264.0,735.0,261.0,9.1078,500001.0,<1H OCEAN
-118.53,34.03,40.0,4350.0,763.0,1551.0,665.0,7.0318,500001.0,<1H OCEAN
-118.5,34.05,36.0,4152.0,542.0,1461.0,550.0,15.0001,500001.0,<1H OCEAN
-118.55,33.99,39.0,2603.0,456.0,928.0,410.0,7.9096,500001.0,NEAR OCEAN
-118.51,34.04,38.0,4715.0,691.0,1660.0,637.0,10.1882,500001.0,<1H OCEAN
-118.47,34.06,45.0,1271.0,190.0,419.0,171.0,7.6447,500001.0,<1H OCEAN
-118.47,34.06,45.0,3030.0,433.0,916.0,399.0,9.4664,500001.0,<1H OCEAN
-118.48,34.05,48.0,3623.0,528.0,1282.0,516.0,9.5221,500001.0,<1H OCEAN
-118.49,34.05,42.0,1918.0,216.0,632.0,224.0,15.0001,500001.0,<1H OCEAN
-118.47,34.06,26.0,6577.0,1789.0,2937.0,1652.0,4.801,500001.0,<1H OCEAN
-118.46,34.06,20.0,5448.0,1532.0,2202.0,1442.0,4.2554,500001.0,<1H OCEAN
-118.47,34.05,25.0,2689.0,719.0,1229.0,663.0,3.5909,500001.0,<1H OCEAN
-118.47,34.05,22.0,5215.0,1193.0,2048.0,1121.0,4.7009,500001.0,<1H OCEAN
-118.47,34.05,27.0,4401.0,1033.0,1725.0,962.0,4.175,500001.0,<1H OCEAN
-118.48,34.05,36.0,2143.0,434.0,751.0,396.0,6.7496,500001.0,<1H OCEAN
-118.49,34.05,45.0,1346.0,214.0,415.0,209.0,7.0285,500001.0,<1H OCEAN
-118.42,34.08,46.0,1399.0,148.0,410.0,152.0,15.0001,500001.0,<1H OCEAN
-118.43,34.07,34.0,3203.0,483.0,949.0,439.0,10.3467,500001.0,<1H OCEAN
-118.43,34.07,38.0,3251.0,656.0,1251.0,593.0,7.7382,500001.0,<1H OCEAN
-118.44,34.07,26.0,3535.0,748.0,1322.0,666.0,7.1674,500001.0,<1H OCEAN
-118.44,34.07,35.0,1973.0,332.0,1257.0,296.0,8.9565,500001.0,<1H OCEAN
-118.44,34.06,28.0,3910.0,959.0,1763.0,867.0,5.5,500001.0,<1H OCEAN
-118.44,34.06,14.0,520.0,292.0,282.0,213.0,2.2857,500001.0,<1H OCEAN
-118.45,34.06,20.0,3367.0,1264.0,2667.0,1131.0,2.2444,500000.0,<1H OCEAN
-118.46,34.06,46.0,1302.0,215.0,482.0,226.0,7.0674,500001.0,<1H OCEAN
-118.46,34.07,43.0,2511.0,456.0,808.0,407.0,6.7703,500001.0,<1H OCEAN
-118.46,34.07,49.0,2418.0,301.0,850.0,318.0,14.2867,500001.0,<1H OCEAN
-118.46,34.07,42.0,2564.0,460.0,913.0,414.0,9.2225,500001.0,<1H OCEAN
-118.44,34.06,9.0,5102.0,1695.0,2609.0,1450.0,3.2545,500001.0,<1H OCEAN
-118.44,34.05,18.0,4780.0,1192.0,1886.0,1036.0,4.4674,500001.0,<1H OCEAN
-118.44,34.05,32.0,1880.0,435.0,798.0,417.0,4.7109,500000.0,<1H OCEAN
-118.43,34.06,11.0,3184.0,641.0,911.0,463.0,7.2675,500001.0,<1H OCEAN
-118.43,34.06,41.0,1463.0,267.0,601.0,267.0,5.3777,500001.0,<1H OCEAN
-118.43,34.05,22.0,4251.0,1073.0,1581.0,881.0,5.2555,500001.0,<1H OCEAN
-118.44,34.06,13.0,4833.0,1119.0,1649.0,807.0,6.2389,500001.0,<1H OCEAN
-118.42,34.06,40.0,2933.0,565.0,1077.0,536.0,6.1527,500001.0,<1H OCEAN
-118.43,34.06,31.0,1317.0,284.0,523.0,274.0,7.4219,500001.0,<1H OCEAN
-118.43,34.06,38.0,2982.0,664.0,1122.0,572.0,4.1908,500001.0,<1H OCEAN
-118.43,34.06,20.0,4600.0,1018.0,1675.0,932.0,5.1999,500001.0,<1H OCEAN
-118.42,34.06,44.0,533.0,90.0,291.0,97.0,10.8045,500001.0,<1H OCEAN
-118.42,34.06,52.0,1881.0,334.0,640.0,321.0,6.871,500001.0,<1H OCEAN
-118.42,34.05,38.0,4888.0,1126.0,1698.0,937.0,4.8304,500001.0,<1H OCEAN
-118.43,34.05,52.0,1693.0,290.0,727.0,305.0,6.7115,500001.0,<1H OCEAN
-118.44,34.05,22.0,3970.0,871.0,1588.0,791.0,4.8618,500001.0,<1H OCEAN
-118.43,34.04,52.0,2425.0,435.0,962.0,412.0,5.8587,494700.0,<1H OCEAN
-118.43,34.04,52.0,1782.0,308.0,735.0,307.0,5.2954,485100.0,<1H OCEAN
-118.41,34.05,16.0,9728.0,2211.0,3026.0,1899.0,5.8758,500001.0,<1H OCEAN
-118.42,34.05,33.0,2921.0,652.0,1124.0,608.0,5.0151,500001.0,<1H OCEAN
-118.42,34.05,52.0,2533.0,402.0,981.0,386.0,7.8164,500001.0,<1H OCEAN
-118.4,34.05,26.0,4473.0,923.0,1518.0,805.0,5.0762,500001.0,<1H OCEAN
-118.4,34.04,40.0,2079.0,268.0,720.0,282.0,9.272,500001.0,<1H OCEAN
-118.4,34.04,42.0,1298.0,174.0,420.0,190.0,12.8483,500001.0,<1H OCEAN
-118.4,34.03,36.0,1831.0,296.0,871.0,269.0,8.1484,500001.0,<1H OCEAN
-118.41,34.03,33.0,1730.0,386.0,994.0,363.0,3.7277,500001.0,<1H OCEAN
-118.41,34.04,49.0,601.0,95.0,228.0,106.0,8.0239,500001.0,<1H OCEAN
-118.39,34.05,42.0,3105.0,559.0,1253.0,531.0,5.222,500001.0,<1H OCEAN
-118.4,34.05,34.0,2113.0,459.0,859.0,432.0,3.6953,500001.0,<1H OCEAN
-118.41,34.04,52.0,1907.0,261.0,681.0,249.0,10.9805,500001.0,<1H OCEAN
-118.41,34.04,52.0,2113.0,332.0,800.0,327.0,11.1768,500001.0,<1H OCEAN
-118.41,34.03,36.0,3053.0,635.0,1234.0,577.0,5.1637,500001.0,<1H OCEAN
-118.42,34.04,51.0,1975.0,348.0,771.0,357.0,6.626,500001.0,<1H OCEAN
-118.42,34.04,52.0,1358.0,272.0,574.0,267.0,5.6454,500001.0,<1H OCEAN
-118.39,34.04,45.0,2089.0,312.0,834.0,305.0,7.3028,500001.0,<1H OCEAN
-118.4,34.04,43.0,3863.0,537.0,1398.0,511.0,8.5938,500001.0,<1H OCEAN
-118.4,34.05,43.0,1028.0,145.0,394.0,149.0,10.4519,500001.0,<1H OCEAN
-118.39,34.05,42.0,1467.0,203.0,577.0,204.0,6.6368,500001.0,<1H OCEAN
-118.44,34.02,32.0,2242.0,490.0,921.0,461.0,4.0429,500001.0,<1H OCEAN
-118.43,34.01,43.0,1487.0,242.0,675.0,247.0,5.3403,489800.0,<1H OCEAN
-118.43,34.02,38.0,2172.0,437.0,830.0,368.0,3.9091,500001.0,<1H OCEAN
-118.43,34.02,42.0,1528.0,244.0,634.0,242.0,8.1631,500001.0,<1H OCEAN
-118.43,34.02,41.0,2403.0,516.0,1001.0,514.0,4.3906,500001.0,<1H OCEAN
-118.43,34.01,31.0,2526.0,528.0,1046.0,504.0,4.7009,500001.0,<1H OCEAN
-118.47,33.99,24.0,1438.0,454.0,665.0,416.0,2.975,500001.0,<1H OCEAN
-118.46,33.99,35.0,1214.0,300.0,478.0,265.0,4.0156,500001.0,<1H OCEAN
-118.46,33.98,27.0,2217.0,520.0,806.0,458.0,3.8935,500001.0,<1H OCEAN
-118.5,33.97,29.0,2737.0,808.0,1157.0,696.0,5.128,500001.0,<1H OCEAN
-118.46,33.98,19.0,2520.0,726.0,964.0,663.0,3.8068,500001.0,<1H OCEAN
-118.46,33.97,19.0,1658.0,427.0,648.0,378.0,3.8698,500001.0,<1H OCEAN
-118.46,33.97,18.0,9430.0,2473.0,3408.0,2003.0,6.1726,500001.0,<1H OCEAN
-118.46,33.97,19.0,2461.0,521.0,777.0,447.0,10.0,500001.0,<1H OCEAN
-118.48,33.96,16.0,895.0,181.0,237.0,149.0,12.0088,500001.0,<1H OCEAN
-118.43,33.96,13.0,1860.0,345.0,800.0,355.0,5.8864,500001.0,<1H OCEAN
-118.44,33.96,33.0,2799.0,491.0,978.0,447.0,5.6435,500001.0,<1H OCEAN
-118.43,33.96,20.0,1901.0,270.0,704.0,254.0,8.7819,500001.0,<1H OCEAN
-118.43,33.97,16.0,70.0,7.0,17.0,4.0,7.7197,500001.0,<1H OCEAN
-118.45,33.96,24.0,3097.0,791.0,1075.0,639.0,5.723,500001.0,<1H OCEAN
-118.45,33.96,36.0,2723.0,547.0,1090.0,519.0,6.3267,500001.0,<1H OCEAN
-118.44,33.95,37.0,2076.0,332.0,771.0,327.0,6.2551,500001.0,<1H OCEAN
-118.32,33.73,25.0,1099.0,168.0,407.0,159.0,7.6886,500001.0,NEAR OCEAN
-118.26,34.18,32.0,14556.0,2077.0,5459.0,2017.0,8.1657,500001.0,<1H OCEAN
-118.21,34.18,14.0,2672.0,335.0,1113.0,318.0,12.1579,500001.0,<1H OCEAN
-118.27,34.17,52.0,2287.0,295.0,829.0,296.0,7.8383,500001.0,<1H OCEAN
-118.27,34.18,52.0,3034.0,406.0,1158.0,399.0,6.2976,498400.0,<1H OCEAN
-118.34,34.15,40.0,3068.0,756.0,1190.0,695.0,3.5637,497400.0,<1H OCEAN
-117.85,34.07,32.0,761.0,101.0,295.0,95.0,11.1077,500001.0,<1H OCEAN
-117.88,34.06,23.0,6689.0,1124.0,3081.0,1047.0,5.9254,491200.0,<1H OCEAN
-117.97,34.15,33.0,2474.0,472.0,1268.0,437.0,6.4576,500001.0,INLAND
-118.02,34.17,32.0,3868.0,548.0,1558.0,528.0,9.4667,500001.0,INLAND
-118.03,34.16,36.0,1640.0,239.0,693.0,253.0,6.6888,500001.0,INLAND
-118.03,34.15,43.0,1694.0,283.0,674.0,267.0,4.1797,486800.0,INLAND
-118.03,34.16,36.0,1401.0,218.0,667.0,225.0,7.1615,484700.0,INLAND
-118.03,34.16,39.0,2731.0,366.0,1034.0,338.0,9.8098,500001.0,INLAND
-118.05,34.15,32.0,5131.0,665.0,1877.0,622.0,8.2004,500001.0,INLAND
-118.06,34.15,37.0,1980.0,226.0,697.0,226.0,15.0001,500001.0,INLAND
-118.05,34.14,39.0,2125.0,295.0,862.0,303.0,8.9728,500001.0,INLAND
-118.06,34.14,40.0,2662.0,379.0,1151.0,387.0,8.4889,500001.0,INLAND
-118.04,34.13,35.0,249.0,31.0,268.0,29.0,15.0001,500001.0,INLAND
-118.04,34.11,37.0,1275.0,177.0,598.0,174.0,7.1885,500001.0,INLAND
-118.04,34.12,44.0,2007.0,288.0,921.0,307.0,6.5989,500001.0,INLAND
